Date,EventSort,EventLabel,EventShortLabel,EventDescription,EventFlag
2000-03-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-04-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-05-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-06-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-07-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-08-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-09-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-10-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-11-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2000-12-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-01-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-02-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-03-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-04-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-05-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-06-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-07-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-08-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-09-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-10-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-11-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2001-12-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-01-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-02-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-03-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-04-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-05-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-06-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-07-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-08-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-09-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-10-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-11-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2002-12-01,1,2001 dot-com slowdown,2001 dot-com,Early-2000s equity-market slump and slowdown period.,1
2007-07-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2007-08-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2007-09-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2007-10-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2007-11-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2007-12-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-01-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-02-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-03-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-04-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-05-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-06-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-07-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-08-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-09-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-10-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-11-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2008-12-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-01-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-02-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-03-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-04-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-05-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2009-06-01,2,2008 global financial crisis,2008 crisis,Credit crunch and housing-market retrenchment around the global financial crisis.,1
2020-03-01,3,2020 pandemic disruption,2020 pandemic,Initial pandemic shutdown and immediate housing-market disruption period.,1
2020-04-01,3,2020 pandemic disruption,2020 pandemic,Initial pandemic shutdown and immediate housing-market disruption period.,1
2020-05-01,3,2020 pandemic disruption,2020 pandemic,Initial pandemic shutdown and immediate housing-market disruption period.,1
2020-06-01,3,2020 pandemic disruption,2020 pandemic,Initial pandemic shutdown and immediate housing-market disruption period.,1
2022-09-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2022-10-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2022-11-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2022-12-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2023-01-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2023-02-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
2023-03-01,4,2022 mortgage repricing period,2022 repricing,Mortgage repricing and demand reset following the September 2022 mini-budget.,1
